billing_city,latitude,longitude
Gilbert,33.3527632,-111.789037
Taipa,22.1573804,113.5601035
White Marsh,39.38365505,-76.4511269676786
East Palatka,29.652377,-81.5995889937833
Fayetteville,36.0625843,-94.1574328
Fayetteville,36.0625843,-94.1574328
Fayetteville,36.0625843,-94.1574328
Flora,43.184,2.48911
Puyallup,47.1849009,-122.29214
Maple Ridge,49.2197345,-122.599707
Maple Ridge,49.2197345,-122.599707
Chicago,41.8755616,-87.6244212
New York,40.7127281,-74.0060152
Falls Church,38.882334,-77.1710914
Falls Church,38.882334,-77.1710914
Alexandria,44.83495335,8.745030418605868
Weil Am Rhein,47.5932802,7.6116133
Hong Kong,22.2793278,114.1628131
Vallonia,50.154540049999994,5.399359762971196
Vallonia,50.154540049999994,5.399359762971196
Vallonia,50.154540049999994,5.399359762971196
Hong Kong,22.2793278,114.1628131
Hong Kong,22.2793278,114.1628131
Brooklyn,40.6526006,-73.9497211
New York,40.7127281,-74.0060152
Canyon Country,34.4233293,-118.4720281
Long Beach,33.7690164,-118.191604
Washington,38.8950368,-77.0365427
Nanticoke,41.2052654,-76.0049353
Brooklyn,40.6526006,-73.9497211
Brooklyn,40.6526006,-73.9497211
East Northport,40.8767648,-73.3245614
Wildwood Crest,38.9748351,-74.8335015
Denver,39.7392364,-104.984862
Mineola,40.7492678,-73.6406845
Mineola,40.7492678,-73.6406845
Mineola,40.7492678,-73.6406845
Mineola,40.7492678,-73.6406845
East Palatka,29.652377,-81.5995889937833
Pfeffingen,47.4579858,7.589006
Pfeffingen,47.4579858,7.589006
Pfeffingen,47.4579858,7.589006
Murrysville,40.4284015,-79.697545
Nitra,48.31295,18.0894593
East Northport,40.8767648,-73.3245614
Washington,38.8950368,-77.0365427
Washington,38.8950368,-77.0365427
East Northport,40.8767648,-73.3245614
Raleigh,35.7803977,-78.6390989
East Northport,40.8767648,-73.3245614
Raleigh,35.7803977,-78.6390989
Media,40.7750395,-90.8320824
East Northport,40.8767648,-73.3245614
New York,40.7127281,-74.0060152
Rio Rancho,35.2702448,-106.6329806
Rio Rancho,35.2702448,-106.6329806
Rio Rancho,35.2702448,-106.6329806
Orinda,37.8771476,-122.1796888
Orinda,37.8771476,-122.1796888
Fort Worth,32.753177,-97.3327459
